SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011997,溢利其他项目,-6477000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011999,除税前溢利,-749483000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012001,税项,727000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012002,持续经营业务税后利润,-750210000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012999,除税后溢利,-750210000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004025001,少数股东损益,-560000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004025002,股东应占溢利,-749650000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004027002,每股基本盈利,-4.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004027003,每股摊薄盈利,-4.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004030997,其他全面收益其他项目,1451000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004030999,其他全面收益,1451000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004039999,全面收益总额,-748759000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-560000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,-748199000.0
06682.HK,06682,第四范式,10000071947,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004099999,非运算项目,-512503000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004001001,营业额,459518000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004001999,营运收入,459518000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004005002,销售成本,259437000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004007999,毛利,200081000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010001,其他收入,10390000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010002,其他收益,17178000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010003,销售及分销费用,135817000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010004,行政开支,224482000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010005,减值及拨备,1875000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010010,研发费用,416418000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010999,经营溢利,-550943000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011200,利息收入,2383000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011201,融资成本,163935000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011997,溢利其他项目,-4228000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011999,除税前溢利,-716723000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004012001,税项,1503000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004012002,持续经营业务税后利润,-718226000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004012999,除税后溢利,-718226000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004025001,少数股东损益,-1650000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004025002,股东应占溢利,-716576000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004027002,每股基本盈利,-3.82
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004027003,每股摊薄盈利,-3.82
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004030997,其他全面收益其他项目,-279000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004030999,其他全面收益,-279000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004039999,全面收益总额,-718505000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-1650000.0
